Question,Intent,Answer
 ,,
What is the admission process?,admission,Admissions start in June. Students can apply online or visit the admission office.
What documents are required for admission?,admission,SSC marks memo Intermediate marks memo Transfer Certificate and Aadhaar are required.
Can I apply online?,admission,Yes online admission is available through the college website.
What is the last date for admission?,admission,Please check the official college website for the latest admission schedule.
Is there any entrance exam?,admission,Admission is based on eligibility and entrance exam rules.
What is the annual tuition fee?,fees,The annual tuition fee is ₹50000.
Is there any scholarship available?,fees,Eligible students can apply for government scholarships.
Can I pay fees in installments?,fees,Yes fee installments are available with approval.
What is the hostel fee?,hostel,Hostel fee is ₹60000 per year.
Is hostel available for girls?,hostel,Yes separate hostel facilities are available for girls.
What courses are offered?,courses,CSE ECE EEE Civil Mechanical MBA and Diploma courses are available.
Does the college offer CSE?,courses,Yes Computer Science and Engineering is available.
What is the college timing?,general,College timings are 9 AM to 4 PM.
Where is the college located?,general,Please check the official college website for the address.
Who is the principal?,general,Please visit the official website for updated principal details.
What is the placement percentage?,placement,More than 85 percent of eligible students are placed every year.
Which companies visit the campus?,placement,TCS Infosys Wipro Accenture Cognizant and Capgemini visit the campus.
Does the college provide internships?,internship,Yes internship opportunities are provided through the placement cell.
Is library available?,library,Yes the library is open from 9 AM to 5 PM.
What is the attendance requirement?,attendance,A minimum of 75 percent attendance is required.
Is there any management quota?,admission,Yes management quota admissions are available as per college rules.
Can I change my branch after admission?,admission,Branch change depends on college policy and seat availability.
When does the academic year start?,admission,The academic year usually starts in July.
Is migration certificate required?,admission,Yes if applicable migration certificate is required.
How can I contact the admission office?,admission,You can contact the admission office through phone email or by visiting the campus.
,,
What is the examination fee?,fees,The examination fee is announced before each semester.
Can I pay fees online?,fees,Yes fees can be paid through the online payment portal.
Is there any late fee penalty?,fees,Yes a late fee may be charged after the due date.
Are scholarships available for merit students?,fees,Yes merit scholarships are available for eligible students.
Can I get a fee receipt online?,fees,Yes you can download the fee receipt from the student portal.
,,
Is Wi-Fi available in the hostel?,hostel,Yes Wi-Fi is available in the hostel.
Are hostel rooms shared?,hostel,Yes rooms are generally shared by two or three students.
Is hostel food provided?,hostel,Yes healthy and hygienic food is provided.
Can day scholars use hostel facilities?,hostel,No hostel facilities are only for hostel students.
Is hostel available for first year students?,hostel,Yes hostel accommodation is available for first year students.
,,
Does the college provide bus facilities?,transport,Yes bus facilities are available on different routes.
How can I apply for a bus pass?,transport,Students can apply through the transport office.
Are buses available for nearby towns?,transport,Yes buses are available for selected nearby towns.
What is the transport fee?,transport,Transport fees depend on the route selected.
Can I change my bus route?,transport,Yes subject to seat availability.
,,
Is there a central library?,library,Yes the college has a central library.
Can I borrow books?,library,Yes students can borrow books using their ID card.
How many books can I borrow?,library,Students can borrow up to three books at a time.
Is the library open on Saturdays?,library,Yes the library is open on Saturdays.
Are digital books available?,library,Yes digital resources are available through the library portal.
,,
Does the college provide internships?,internship,Yes internships are arranged through the placement cell.
Are internships mandatory?,internship,Yes internships are mandatory in some semesters.
Can I do an internship outside the college?,internship,Yes with department approval.
Are paid internships available?,internship,Yes some companies offer paid internships.
Will I get an internship certificate?,internship,Yes successful completion earns a certificate.
,,
Which companies offer placements?,placement,TCS Infosys Wipro Accenture Cognizant Capgemini and Tech Mahindra visit the campus.
What is the highest package?,placement,The highest package varies every year.
Is placement training provided?,placement,Yes aptitude coding and interview training are provided.
Can all students attend placement drives?,placement,Eligible students can attend placement drives.
Does the college conduct mock interviews?,placement,Yes mock interviews are conducted regularly.
,,
What is the minimum attendance required?,attendance,A minimum of 75 percent attendance is required.
Can attendance be relaxed?,attendance,Relaxation is provided only in special cases.
How can I check my attendance?,attendance,Attendance can be viewed on the student portal.
What happens if attendance is low?,attendance,Students may not be allowed to write examinations.
Are medical leaves considered?,attendance,Medical leave may be considered with valid documents.
,,
How many semesters are there in BTech?,courses,BTech consists of eight semesters.
Is CSE available?,courses,Yes Computer Science and Engineering is offered.
Does the college offer MBA?,courses,Yes MBA is available.
Are diploma courses available?,courses,Yes diploma programs are offered.
Can I choose elective subjects?,courses,Yes elective subjects are available from higher semesters.
,,
What are the college working hours?,general,College works from 9 AM to 4 PM.
Is there a student portal?,general,Yes every student receives portal login credentials.
How do I get my ID card?,general,The ID card is issued after admission.
Does the college have an anti-ragging committee?,general,Yes the college has a strict anti-ragging committee.
How can I contact the college?,general,You can contact the college through the official website phone or email.
Is biometric attendance available?,attendance,Yes biometric attendance is available for students.
Can I apply for leave online?,attendance,Yes leave applications can be submitted through the student portal.
How is attendance calculated?,attendance,Attendance is calculated based on classes attended.
Can parents check attendance?,attendance,Yes parents can check attendance through the parent portal.
Is attendance compulsory for labs?,attendance,Yes attendance is compulsory for both theory and lab classes.
,,
When are semester exams conducted?,exams,Semester exams are conducted at the end of each semester.
How can I download my hall ticket?,exams,Hall tickets can be downloaded from the student portal.
Can I apply for revaluation?,exams,Yes students can apply for revaluation after results.
When will exam results be announced?,exams,Results are usually announced within one month.
What is the passing mark?,exams,Students must score the minimum passing marks prescribed by the university.
,,
Is there a computer lab?,facilities,Yes modern computer labs are available.
Are laboratories well equipped?,facilities,Yes all laboratories are equipped with modern instruments.
Does the campus have Wi-Fi?,facilities,Yes free Wi-Fi is available across the campus.
Is there a canteen on campus?,facilities,Yes the college has a hygienic canteen.
Is medical assistance available?,facilities,Yes first aid and medical facilities are available.
,,
Does the college organize workshops?,events,Yes technical and non-technical workshops are conducted regularly.
Are hackathons conducted?,events,Yes hackathons are organized every year.
Can students participate in technical events?,events,Yes students are encouraged to participate in technical events.
Does the college celebrate annual day?,events,Yes annual day is celebrated every year.
Are sports events organized?,events,Yes sports competitions are organized annually.
,,
How can I register for NSS?,nss,NSS registration is available through the NSS coordinator.
Is NCC available?,ncc,Yes NCC is available for eligible students.
Can I join student clubs?,clubs,Yes students can join various technical and cultural clubs.
Are cultural activities encouraged?,clubs,Yes cultural activities are encouraged throughout the year.
Does the college have a coding club?,clubs,Yes the college has an active coding club.
,,
How do I reset my student portal password?,portal,Use the Forgot Password option on the student portal.
Where can I access study materials?,portal,Study materials are available on the student portal.
